Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
390068,HEART OF LANCASTER REGIONAL MEDICAL CENTER,1500 HIGHLANDS DRIVE,LITITZ,PA,17543,LANCASTER,7176255000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"1500 HIGHLANDS DRIVE
LITITZ, PA
(40.134257, -76.309414)"
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,2159556000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,"111 SOUTH 11TH STREET
PHILADELPHIA, PA
(39.949646, -75.158761)"
390107,UPMC PASSAVANT,9100 BABCOCK BOULEVARD,PITTSBURGH,PA,15237,ALLEGHENY,4123676700,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,"9100 BABCOCK BOULEVARD
PITTSBURGH, PA
(40.568235, -80.016518)"
360080,EAST OHIO REGIONAL HOSPITAL,90 NORTH FOURTH STREET,MARTINS FERRY,OH,43935,BELMONT,7406334151,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"90 NORTH FOURTH STREET
MARTINS FERRY, OH
(40.098644, -80.720889)"
390049,ST LUKE'S HOSPITAL BETHLEHEM,801 OSTRUM STREET,BETHLEHEM,PA,18015,NORTHAMPTON,6109544000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"801 OSTRUM STREET
BETHLEHEM, PA
(40.608697, -75.392507)"
390058,CARLISLE REGIONAL MEDICAL CENTER,361 ALEXANDER SPRING ROAD,CARLISLE,PA,17015,CUMBERLAND,7172491212,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"361 ALEXANDER SPRING ROAD
CARLISLE, PA
(40.184767, -77.223007)"
440058,SOUTHERN TENNESSEE REGIONAL HLTH SYSTEM WINCHESTER,185 HOSPITAL ROAD,WINCHESTER,TN,37398,FRANKLIN,9319678295,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"185 HOSPITAL ROAD
WINCHESTER, TN
(35.176023, -86.091076)"
430082,PHS INDIAN HOSPITAL AT RAPID CITY - SIOUX SAN,3200 CANYON LAKE DR,RAPID CITY,SD,57702,PENNINGTON,6053552500,Acute Care Hospitals,Government - Federal,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"3200 CANYON LAKE DR
RAPID CITY, SD
(44.070903, -103.279085)"
440084,SWEETWATER HOSPITAL ASSOCIATION,304 WRIGHT ST,SWEETWATER,TN,37874,MONROE,8652138200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"304 WRIGHT ST
SWEETWATER, TN
(35.60025, -84.464223)"
440061,TENNOVA HEALTHCARE-VOLUNTEER MARTIN,161 MOUNT PELIA RD,MARTIN,TN,38237,WEAKLEY,7315874261,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,"161 MOUNT PELIA RD
MARTIN, TN
(36.333569, -88.869022)"
440018,SYCAMORE SHOALS HOSPITAL,1501 WEST ELK AVENUE,ELIZABETHTON,TN,37643,CARTER,4235421300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1501 WEST ELK AVENUE
ELIZABETHTON, TN
(36.345064, -82.247664)"
341325,ASHE MEMORIAL HOSPITAL,200 HOSPITAL AVE,JEFFERSON,NC,28640,ASHE,3362467101,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,"200 HOSPITAL AVE
JEFFERSON, NC
(36.423027, -81.459727)"
390067,PINNACLE HEALTH HOSPITALS,409 SOUTH SECOND STREET,HARRISBURG,PA,17105,DAUPHIN,7177825181,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"409 SOUTH SECOND STREET
HARRISBURG, PA
(40.256258, -76.875329)"
380001,MID-COLUMBIA MEDICAL CENTER,1700 E 19TH STREET,THE DALLES,OR,97058,WASCO,5412961111,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1700 E 19TH STREET
THE DALLES, OR
(45.587948, -121.16547)"
440046,TRISTAR HORIZON MEDICAL CENTER,111 HIGHWAY 70 EAST,DICKSON,TN,37055,DICKSON,6154460446,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"111 HIGHWAY 70 EAST
DICKSON, TN
(36.07212, -87.374808)"
360125,ASHTABULA COUNTY MEDICAL CENTER,2420 LAKE AVENUE,ASHTABULA,OH,44004,ASHTABULA,4409972262,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"2420 LAKE AVENUE
ASHTABULA, OH
(41.880148, -80.795674)"
360058,MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL,800 WEST MAIN STREET,COLDWATER,OH,45828,MERCER,4196784843,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"800 WEST MAIN STREET
COLDWATER, OH
(40.479782, -84.638243)"
390119,MOSES TAYLOR HOSPITAL,700 QUINCY AVENUE,SCRANTON,PA,18510,LACKAWANNA,5703402100,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,"700 QUINCY AVENUE
SCRANTON, PA
(41.410675, -75.650814)"
390080,JEANES HOSPITAL,7600 CENTRAL AVENUE,PHILADELPHIA,PA,19111,PHILADELPHIA,2157282000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"7600 CENTRAL AVENUE
PHILADELPHIA, PA
(40.069071, -75.086551)"
430091,BLACK HILLS SURGICAL HOSPITAL LLP,216 ANAMARIA DR,RAPID CITY,SD,57703,PENNINGTON,6057214700,Acute Care Hospitals,Physician,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"216 ANAMARIA DR
RAPID CITY, SD
(44.045936, -103.223071)"
370080,SHARE MEDICAL CENTER,800 SHARE DRIVE,ALVA,OK,73717,WOODS,5803272800,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"800 SHARE DRIVE
ALVA, OK
(36.786969, -98.670023)"
360132,FORT HAMILTON HUGHES MEMORIAL HOSPITAL,630 EATON AVENUE,HAMILTON,OH,45013,BUTLER,5138672000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"630 EATON AVENUE
HAMILTON, OH
(39.415153, -84.573822)"
410005,OUR LADY OF FATIMA HOSPITAL,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,RI,2904,PROVIDENCE,4014563000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"200 HIGH SERVICE AVENUE
NORTH PROVIDENCE, RI
(41.855796, -71.458498)"
421303,WILLIAMSBURG REGIONAL HOSPITAL,500 NELSON BOULEVARD,KINGSTREE,SC,29556,WILLIAMSBURG,8433558888,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,This hospitals star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"500 NELSON BOULEVARD
KINGSTREE, SC
(33.660662, -79.820252)"
361301,COMMUNITY MEMORIAL HOSPITAL,208 N COLUMBUS ST,HICKSVILLE,OH,43526,DEFIANCE,4195426692,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"208 N COLUMBUS ST
HICKSVILLE, OH
(41.300379, -84.75605)"
371306,MERCY HEALTH LOVE COUNTY,300 WANDA STREET,MARIETTA,OK,73448,LOVE,5802763347,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"300 WANDA STREET
MARIETTA, OK
(33.942481, -97.13108)"
371325,CORDELL MEMORIAL HOSPITAL,1220 NORTH GLENN ENGLISH STREET,CORDELL,OK,73632,WASHITA,5808323339,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1220 NORTH GLENN ENGLISH STREET
CORDELL, OK
(35.302524, -98.987595)"
450082,CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 E HOUSTON HWY,BEEVILLE,TX,78102,BEE,3613542000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1500 E HOUSTON HWY
BEEVILLE, TX
(28.408353, -97.731925)"
440065,NORTHCREST MEDICAL CENTER,100 NORTHCREST DRIVE,SPRINGFIELD,TN,37172,ROBERTSON,6153842411,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"100 NORTHCREST DRIVE
SPRINGFIELD, TN
(36.479518, -86.888898)"
341305,SWAIN COUNTY HOSPITAL,45 PLATEAU STREET,BRYSON CITY,NC,28713,SWAIN,8284882155,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,This hospitals star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"45 PLATEAU STREET
BRYSON CITY, NC
(35.435123, -83.444688)"
360052,GOOD SAMARITAN HOSPITAL,2222 PHILADELPHIA DRIVE,DAYTON,OH,45406,MONTGOMERY,9372782612,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2222 PHILADELPHIA DRIVE
DAYTON, OH
(39.788206, -84.234967)"
371314,THE PHYSICIANS' HOSPITAL IN ANADARKO,1002 EAST CENTRAL BOULEVARD,ANADARKO,OK,73005,CADDO,4052478236,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Below the national average,,"1002 EAST CENTRAL BOULEVARD
ANADARKO, OK
(35.07227, -98.22799)"
380082,PROVIDENCE MILWAUKIE HOSPITAL,10150 SE 32ND AVENUE,MILWAUKIE,OR,97222,CLACKAMAS,5035138336,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"10150 SE 32ND AVENUE
MILWAUKIE, OR
(45.449714, -122.629791)"
450024,UNIVERSITY MEDICAL CENTER OF EL PASO,4815 ALAMEDA AVE,EL PASO,TX,79905,EL PASO,9155217602,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"4815 ALAMEDA AVE
EL PASO, TX
(31.770743, -106.434456)"
340061,UNIVERSITY OF NORTH CAROLINA HOSPITAL,101 MANNING DRIVE,CHAPEL HILL,NC,27514,ORANGE,9199664141,Acute Care Hospitals,Government - State,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,"101 MANNING DRIVE
CHAPEL HILL, NC
(35.903551, -79.051894)"
340166,CAROLINAS MED CTR-UNIVERSITY,8800 NORTH TYRON STREET,CHARLOTTE,NC,28262,MECKLENBURG,7045486000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"8800 NORTH TYRON STREET
CHARLOTTE, NC
(35.307869, -80.748031)"
390138,WAYNESBORO HOSPITAL,501 EAST MAIN ST,WAYNESBORO,PA,17268,FRANKLIN,7177654000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"501 EAST MAIN ST
WAYNESBORO, PA
(39.751806, -77.570581)"
380061,PROVIDENCE PORTLAND MEDICAL CENTER,4805 NE GLISAN STREET,PORTLAND,OR,97213,MULTNOMAH,5032151111,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"4805 NE GLISAN STREET
PORTLAND, OR
(45.526518, -122.613781)"
390220,JENNERSVILLE REGIONAL HOSPITAL,1015 WEST BALTIMORE PIKE,WEST GROVE,PA,19390,CHESTER,6108691000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1015 WEST BALTIMORE PIKE
WEST GROVE, PA
(39.822744, -75.887918)"
390110,CONEMAUGH MEMORIAL MEDICAL CENTER,1086 FRANKLIN STREET,JOHNSTOWN,PA,15905,CAMBRIA,8145349000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,"1086 FRANKLIN STREET
JOHNSTOWN, PA
(40.305047, -78.918513)"
390063,UPMC HAMOT,201 STATE STREET,ERIE,PA,16550,ERIE,8148776000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"201 STATE STREET
ERIE, PA
(42.133331, -80.087825)"
341328,MURPHY MEDICAL CENTER INC,3990 EAST US HIGHWAY 64 ALT,MURPHY,NC,28906,CHEROKEE,8288378161,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,This hospitals star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"3990 EAST US HIGHWAY 64 ALT
MURPHY, NC
(35.072879, -83.965171)"
361324,OHIOHEALTH SHELBY HOSPITAL,199 WEST MAIN STREET,SHELBY,OH,44875,RICHLAND,4193425015,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,This hospitals star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"199 WEST MAIN STREET
SHELBY, OH
(40.881214, -82.674035)"
420002,PIEDMONT MEDICAL CENTER,222 S HERLONG AVE,ROCK HILL,SC,29730,YORK,8033291234,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"222 S HERLONG AVE
ROCK HILL, SC
(34.955198, -81.05125)"
441301,TROUSDALE MEDICAL CENTER,500 CHURCH STREET,HARTSVILLE,TN,37074,TROUSDALE,6153742221,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"500 CHURCH STREET
HARTSVILLE, TN
(36.388136, -86.167692)"
440187,LIVINGSTON REGIONAL HOSPITAL,315 OAK ST BOX 550,LIVINGSTON,TN,38570,OVERTON,9318235611,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"315 OAK ST BOX 550
LIVINGSTON, TN
(36.384695, -85.328097)"
361310,MERCY WILLARD HOSPITAL,1100 NEAL ZICK ROAD,WILLARD,OH,44890,HURON,4199645000,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1100 NEAL ZICK ROAD
WILLARD, OH
(41.048589, -82.724)"
420010,CAROLINA PINES REGIONAL MEDICAL CENTER,1304 W BOBO NEWSOM HWY,HARTSVILLE,SC,29550,DARLINGTON,8643392100,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1304 W BOBO NEWSOM HWY
HARTSVILLE, SC
(34.348675, -80.105767)"
341314,WASHINGTON COUNTY HOSP INC,958 US HWY 64 EAST,PLYMOUTH,NC,27962,WASHINGTON,2527934135,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"958 US HWY 64 EAST
PLYMOUTH, NC
(35.847982, -76.755839)"
360002,UNIVERSITY HOSPITALS SAMARITAN MEDICAL CENTER,1025 CENTER ST,ASHLAND,OH,44805,ASHLAND,4192890491,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"1025 CENTER ST
ASHLAND, OH
(40.85868, -82.310402)"
370228,"BAILEY MEDICAL CENTER, LLC",10502 NORTH 110TH EAST AVENUE,OWASSO,OK,74055,TULSA,9183768000,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,"10502 NORTH 110TH EAST AVENUE
OWASSO, OK
(36.304717, -95.851684)"
420067,BEAUFORT COUNTY MEMORIAL HOSPITAL,955 RIBAUT RD,BEAUFORT,SC,29902,BEAUFORT,8435225200,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"955 RIBAUT RD
BEAUFORT, SC
(32.417244, -80.688546)"
390198,MILLCREEK COMMUNITY HOSPITAL,5515 PEACH STREET,ERIE,PA,16509,ERIE,8148644031,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"5515 PEACH STREET
ERIE, PA
(42.074141, -80.093735)"
450007,PETERSON REGIONAL MEDICAL CENTER,551 HILL COUNTRY DRIVE,KERRVILLE,TX,78028,KERR,8308964200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"551 HILL COUNTRY DRIVE
KERRVILLE, TX
(30.044944, -99.151857)"
421301,ABBEVILLE AREA MEDICAL CENTER,420 THOMSON CIRCLE,ABBEVILLE,SC,29620,ABBEVILLE,8643665011,Critical Access Hospitals,Government - Local,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"420 THOMSON CIRCLE
ABBEVILLE, SC
(34.154293, -82.372823)"
341303,FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,520 ALLEN STREET,TROY,NC,27371,MONTGOMERY,9105721301,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"520 ALLEN STREET
TROY, NC
(35.36443, -79.891557)"
340037,CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,706 W KING ST,KINGS MOUNTAIN,NC,28086,CLEVELAND,7047393601,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"706 W KING ST
KINGS MOUNTAIN, NC
(35.240871, -81.356017)"
340188,CAPE FEAR VALLEY HOKE HOSPITAL,210 MEDICAL PAVILION DRIVE,RAEFORD,NC,28376,HOKE,9100000000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"210 MEDICAL PAVILION DRIVE
RAEFORD, NC
(35.031426, -79.108824)"
370019,GREAT PLAINS REGIONAL MEDICAL CENTER,1801 WEST 3RD STREET,ELK CITY,OK,73644,BECKHAM,5802252511,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1801 WEST 3RD STREET
ELK CITY, OK
(35.411721, -99.425654)"
390278,EAGLEVILLE HOSPITAL,100 EAGLEVILLE RD,EAGLEVILLE,PA,19408,MONTGOMERY,2155396000,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"100 EAGLEVILLE RD
EAGLEVILLE, PA
(40.15588, -75.41192)"
390090,WEST PENN HOSPITAL,4800 FRIENDSHIP AVENUE,PITTSBURGH,PA,15224,ALLEGHENY,4125785000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"4800 FRIENDSHIP AVENUE
PITTSBURGH, PA
(40.462451, -79.946834)"
390290,HAHNEMANN UNIVERSITY HOSPITAL,230 NORTH BROAD STREET,PHILADELPHIA,PA,19102,PHILADELPHIA,2157627000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"230 NORTH BROAD STREET
PHILADELPHIA, PA
(39.957334, -75.162597)"
370093,O U MEDICAL CENTER,700 NE 13TH STREET,OKLAHOMA CITY,OK,73104,OKLAHOMA,4052715911,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,"700 NE 13TH STREET
OKLAHOMA CITY, OK
(35.482317, -97.501002)"
440193,TENNOVA HEALTHCARE-LEBANON,1411 BADDOUR PARKWAY,LEBANON,TN,37087,WILSON,6154448262,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1411 BADDOUR PARKWAY
LEBANON, TN
(36.219173, -86.328318)"
